Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,ANAR,ANARKALI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANARC,ANARKALICOTTON,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANAR-2,ANARKALI-2,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,PAKD,PAAKIZAHDUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,DUP,PRINTEDDUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,RES,RESHMADUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ROMA,ROMADUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,SAID,SAINADELUXDUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,SAI,SAINADUPATTA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AKA,AAKANSHA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ABHI,ABHILASHA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AFR,AFREEN,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AFR-SP,AFREENSUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AIRJ,AIRJET,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ALI,ALIYA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ALLE,ALLIAEMBROIDERY,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AMI,AMINA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANA,ANAMIKA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANA-SP,ANAMIKASUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANKE,ANKITAEMBROIDERY,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANK,ANOKHI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ANU,ANUSHKA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS,APSARA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-10,APSARA-10,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-11,APSARA-11,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-3,APSARA-3,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-4,APSARA-4,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-4P,APSARA-4PATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-6,APSARA-6,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-6BF,APSARA-6BOOKFOLD,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-6P,APSARA-6PATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-6SP,APSARA-6SUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-7,APSARA-7,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-8,APSARA-8,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,APS-9,APSARA-9,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,ARO,AROHI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AUR,AURA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AUR-2,AURA-2,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AUR-3,AURA-3,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AUR-3P,AURA-3PATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AUR-3SP,AURA-3SUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,AYE,AYESHA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BABY,BABYDOLL,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAL,BALIKABADHU,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAL-3,BALIKABADHU-3,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAL-4,BALIKABADHU-4,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAL-5,BALIKABADHU-5,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAND,BANDHANIDLX,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BANP,BANDHEJPARI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAN,BANDHNI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BANJ,BANJARAN,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BAR,BARFI,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BARE,BARFIEMBROIDERY,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA,BEAUTY,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA-SP,BEAUTYSUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA-2,BEAUTY-2,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA-2SP,BEAUTY-2SUPERPATIALA,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA-3,BEAUTY-3,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BEA-4,BEAUTY-4,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
,BENB,BENGALBATIK,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
