State Code,Product Group,Pack Size (BP/CP),TOTAL/MT,vertical_value,zone
AP,Palm,BP,-800,HBC:Rasoi:BIB,ARR1
AP,Palm,CP,-800,HBC:Rasoi:BIB,ARR1
AP,Soyabean,BP,-800,HBC:Rasoi:BIB,ARR1
AP,Soyabean,CP,-800,HBC:Rasoi:BIB,ARR1
AS,Palm,BP,650,HBC:Rasoi:BIB,ASR1
AS,Palm,CP,650,HBC:Rasoi:BIB,ASR1
AS,Soyabean,BP,1000,HBC:Rasoi:BIB,ASR1
AS,Soyabean,CP,1000,HBC:Rasoi:BIB,ASR1
BR,Palm,BP,550,HBC:Rasoi:BIB,BRR1
BR,Palm,CP,550,HBC:Rasoi:BIB,BRR1
BR,Soyabean,BP,700,HBC:Rasoi:BIB,BRR1
BR,Soyabean,CP,700,HBC:Rasoi:BIB,BRR1
CG,Palm,BP,550,HBC:Rasoi:BIB,CGM1
CG,Palm,CP,550,HBC:Rasoi:BIB,CGM1
CG,Soyabean,BP,700,HBC:Rasoi:BIB,CGM1
CG,Soyabean,CP,700,HBC:Rasoi:BIB,CGM1
DL,Palm,BP,-1550,HBC:Rasoi:BIB,DLR1
DL,Palm,CP,-1550,HBC:Rasoi:BIB,DLR1
DL,Soyabean,BP,-1500,HBC:Rasoi:BIB,DLR1
DL,Soyabean,CP,-1500,HBC:Rasoi:BIB,DLR1
GA,Palm,BP,200,HBC:Rasoi:BIB,GAR1
GA,Palm,CP,200,HBC:Rasoi:BIB,GAR1
GA,Soyabean,BP,200,HBC:Rasoi:BIB,GAR1
GA,Soyabean,CP,200,HBC:Rasoi:BIB,GAR1
HR,Palm,BP,-1550,HBC:Rasoi:BIB,HRR1
HR,Palm,CP,-1550,HBC:Rasoi:BIB,HRR1
HR,Soyabean,BP,-1500,HBC:Rasoi:BIB,HRR1
HR,Soyabean,CP,-1500,HBC:Rasoi:BIB,HRR1
JH,Palm,BP,550,HBC:Rasoi:BIB,JHR1
JH,Palm,CP,550,HBC:Rasoi:BIB,JHR1
JH,Soyabean,BP,700,HBC:Rasoi:BIB,JHR1
JH,Soyabean,CP,700,HBC:Rasoi:BIB,JHR1
KA,Palm,BP,-800,HBC:Rasoi:BIB,KAR1
KA,Palm,CP,-800,HBC:Rasoi:BIB,KAR1
KA,Soyabean,BP,-800,HBC:Rasoi:BIB,KAR1
KA,Soyabean,CP,-800,HBC:Rasoi:BIB,KAR1
MP,Palm,BP,-1300,HBC:Rasoi:BIB,MPR1
MP,Palm,CP,-1300,HBC:Rasoi:BIB,MPR1
MP,Soyabean,BP,-1300,HBC:Rasoi:BIB,MPR1
MP,Soyabean,CP,-1300,HBC:Rasoi:BIB,MPR1
MH,Palm,BP,-1300,HBC:Rasoi:BIB,MHR1
MH,Palm,CP,-1300,HBC:Rasoi:BIB,MHR1
MH,Soyabean,BP,-1300,HBC:Rasoi:BIB,MHR1
MH,Soyabean,CP,-1300,HBC:Rasoi:BIB,MHR1
MN,Palm,BP,650,HBC:Rasoi:BIB,MNR1
MN,Palm,CP,650,HBC:Rasoi:BIB,MNR1
MN,Soyabean,BP,1000,HBC:Rasoi:BIB,MNR1
MN,Soyabean,CP,1000,HBC:Rasoi:BIB,MNR1
ML,Palm,BP,650,HBC:Rasoi:BIB,MLR1
ML,Palm,CP,650,HBC:Rasoi:BIB,MLR1
ML,Soyabean,BP,1000,HBC:Rasoi:BIB,MLR1
ML,Soyabean,CP,1000,HBC:Rasoi:BIB,MLR1
MZ,Palm,BP,650,HBC:Rasoi:BIB,MZM1
MZ,Palm,CP,650,HBC:Rasoi:BIB,MZM1
MZ,Soyabean,BP,1000,HBC:Rasoi:BIB,MZM1
MZ,Soyabean,CP,1000,HBC:Rasoi:BIB,MZM1
NL,Palm,BP,650,HBC:Rasoi:BIB,NLR1
NL,Palm,CP,650,HBC:Rasoi:BIB,NLR1
NL,Soyabean,BP,1000,HBC:Rasoi:BIB,NLR1
NL,Soyabean,CP,1000,HBC:Rasoi:BIB,NLR1
OR,Palm,BP,550,HBC:Rasoi:BIB,ORM1
OR,Palm,CP,550,HBC:Rasoi:BIB,ORM1
OR,Soyabean,BP,700,HBC:Rasoi:BIB,ORM1
OR,Soyabean,CP,700,HBC:Rasoi:BIB,ORM1
PB,Palm,BP,-1550,HBC:Rasoi:BIB,PBR1
PB,Palm,CP,-1550,HBC:Rasoi:BIB,PBR1
PB,Soyabean,BP,-1500,HBC:Rasoi:BIB,PBR1
