Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,,FASHION(NEW),BALL PENS,,,1000,Y,N,,PCS,,,,,,0,,,
,,MAXIM /WAVE/SLIDER,BALL PENS,,,2000,Y,N,,PCS,,,,,,0,,,
,,ORBIT,BALL PENS,,,6000,Y,N,,PCS,,,,,,0,,,
,,SOFTY 5PC/FAST 5 PCS,BALL PENS,,,5888,Y,N,,PCS,,,,,,0,,,
,,SOFTY /STAR/ FAST 20 PCS,BALL PENS,,,2660,Y,N,,PCS,,,,,,0,,,
,,BEST/BUDDY/TARGET/CLOUDS,BALL PENS,,,1000,Y,N,,PCS,,,,,,0,,,
,,SOFT-FLO/READY/STRIKE,BALL PENS,,,2000,Y,N,,PCS,,,,,,0,,,
,,QUICK 5 PCS,BALL PENS,,,6000,Y,N,,PCS,,,,,,0,,,
,,TRINITY 5 PCS,BALL PENS,,,5888,Y,N,,PCS,,,,,,0,,,
,,BOLD,BALL PENS,,,2660,Y,N,,PCS,,,,,,0,,,
,,BUDGET,BALL PENS,,,8569,Y,N,,PCS,,,,,,0,,,
,,STAR COLOUR PLUS,BALL PENS,,,25687,Y,N,,PCS,,,,,,0,,,
,,TRAIGLE/SHINE/SHINE SPL  5PCS/LOVELY,D.F PENS,,,1000,Y,N,,PCS,,,,,,0,,,
,,SMILE/BEAUTY/PENCILO,D.F PENS,,,2000,Y,N,,PCS,,,,,,0,,,
,,DHOOM,D.F PENS,,,6000,Y,N,,PCS,,,,,,0,,,
,,CANDY,D.F PENS,,,5888,Y,N,,PCS,,,,,,0,,,
,,CANDY ASSORTED COLORS,D.F PENS,,,2660,Y,N,,PCS,,,,,,0,,,
,,RELAX (X-1)/X-2  20PCS,D.F PENS,,,1000,Y,N,,PCS,,,,,,0,,,
,,GRIPPO/SONATA 10  PCS,D.F PENS,,,2000,Y,N,,PCS,,,,,,0,,,
,,BINGO /MAGIC BRASS/SINGER,D.F PENS,,,6000,Y,N,,PCS,,,,,,0,,,
,,PEARL 5 PCS,D.F PENS,,,5888,Y,N,,PCS,,,,,,0,,,
,,20 +/SONATA DX,D.F PENS,,,8569,Y,N,,PCS,,,,,,0,,,
,,SINGER 20 PCS,D.F PENS,,,8568,Y,N,,PCS,,,,,,0,,,
,,IDEA GEL,GEL PENS,,,8569,Y,N,,PCS,,,,,,0,,,
,,CURVE GEL,GEL PENS,,,2569,Y,N,,PCS,,,,,,0,,,
,,VIVA GEL,GEL PENS,,,5846,Y,N,,PCS,,,,,,0,,,
,,MASTERPACK WITH BAG,SPECIAL RANGE,,,8569,Y,N,,SET,,,,,,0,,,
,,MASTERPACK WITHOUT BAG,SPECIAL RANGE,,,52669,Y,N,,SET,,,,,,0,,,
,,MASTERPACK(SOFTY),SPECIAL RANGE,,,4524,Y,N,,SET,,,,,,0,,,
,,CELEBRATION SET,SPECIAL RANGE,,,80,Y,N,,SET,,,,,,0,,,
,,SUMI,SKETCH,,,90,Y,N,,SET,,,,,,0,,,
,,GEL,REFILLS,,,5632,Y,N,,PCS,,,,,,0,,,
,,ROCKET 5 & 4 (BL),REFILLS,,,2541,Y,N,,BOX,,,,,,0,,,
,,ROCKET 5 & 4(BK),REFILLS,,,2563,Y,N,,BOX,,,,,,0,,,
,,ROCKET 5 & 4 (RED),REFILLS,,,7458,Y,N,,BOX,,,,,,0,,,
,,JOTTER & CROSS,REFILLS,,,4568,Y,N,,PCS,,,,,,0,,,
,,METAL PENS,METAL PENS,,,0,Y,N,,PCS,,,,,,0,,,
