Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,,Virat Power,,,,0,N,N,V,,,,,,,0,,,,,,,,,,,,,,,0,
,,Virat Power Paper Bag,,,,0,N,N,V,,,,,,,0,,,,,,,,,,,,,,,0,
,,Kohinoor Gold,,,,0,N,N,K,,,,,,,0,,,,,,,,,,,,,,,0,
,,kohinoor Gold Paper Bag,,,,0,N,N,K,,,,,,,0,,,,,,,,,,,,,,,0,
,,Attitude,,,,0,N,N,A,,,,,,,0,,,,,,,,,,,,,,,0,
,,Attitude Paper Bag,,,,0,N,N,A,,,,,,,0,,,,,,,,,,,,,,,0,
,,Shakti,,,,0,N,N,S,,,,,,,0,,,,,,,,,,,,,,,0,
,,Shakti Paper Bag,,,,0,N,N,S,,,,,,,0,,,,,,,,,,,,,,,0,
,,M.Gold,,,,0,N,N,MG,,,,,,,0,,,,,,,,,,,,,,,0,
,,M.Gold Paper Bag,,,,0,N,N,MG,,,,,,,0,,,,,,,,,,,,,,,0,
,,V.Gold,,,,0,N,N,VG,,,,,,,0,,,,,,,,,,,,,,,0,
,,V.Gold Paper Bag,,,,0,N,N,VG,,,,,,,0,,,,,,,,,,,,,,,0,
,,Srijan,,,,0,N,N,SRI,,,,,,,0,,,,,,,,,,,,,,,0,
,,Srijan Paper Bag,,,,0,N,N,SRI,,,,,,,0,,,,,,,,,,,,,,,0,
,,M.Gold +,,,,0,N,N,M+,,,,,,,0,,,,,,,,,,,,,,,0,
,,V.Gold +,,,,0,N,N,V+,,,,,,,0,,,,,,,,,,,,,,,0,
,,B.Gold +,,,,0,N,N,B+,,,,,,,0,,,,,,,,,,,,,,,0,
,,B.Gold + Paper Bag,,,,0,N,N,B+,,,,,,,0,,,,,,,,,,,,,,,0,
,,Raymond,,,,0,N,N,R,,,,,,,0,,,,,,,,,,,,,,,0,
,,Maha Concrete,,,,0,N,N,C,,,,,,,0,,,,,,,,,,,,,,,0,
,,Srijan PPC,,,,0,N,N,SRI,,,,,,,0,,,,,,,,,,,,,,,0,
,,Magnam Gold,,,,0,N,N,M,,,,,,,0,,,,,,,,,,,,,,,0,
,,HDPE Greyforce All Purpose,,,,0,Y,N,HDPE GA,,,,,,,0,,,,,,,,,,,,,,,0,
,,LPP Greyforce All Purpose,,,,0,Y,N,LPP GA,,,,,,,0,,,,,,,,,,,,,,,0,
,,BOPP Greyforce Extra Strong,,,,0,Y,N,BOPP GA,,,,,,,0,,,,,,,,,,,,,,,0,
,,HDPE PSC Greyforce All Purpose,,,,0,Y,N,PSC HDPE GA,,,,,,,0,,,,,,,,,,,,,,,0,
,,LPP PSC Greyforce All Purpose,,,,0,Y,N,PSC LPP GA,,,,,,,0,,,,,,,,,,,,,,,0,
,,BOPE PSC Greyforce Extra Strong,,,,0,Y,N,PSC BOPE GA,,,,,,,0,,,,,,,,,,,,,,,0,
