DNS Branch Code,Branch Name,Branch Location,Comp Code,Branch State,Branch Email,Branch Account Email,Alternative Email,Plant name,HQ,Is plant
DN03,PUNE,,,PUNE,,,,,,no
DN02,Chennai,,,Chennai,,,,,,no
DN04,TAMIL NADU,,,TAMIL NADU,,,,,,no
DN05,NORTH EAST,,,NORTH EAST,,,,,,no
DN06,WEST BENGAL,,,KOLKATA,,,,,,no
DN07,BIHAR,,,BIHAR,,,,,,no
DN09,MUMBAI,,,MUMBAI,,,,,,no
DN10,MADHYA PRADESH,,,MADHYA PRADESH,,,,,,no
DN11,KARNATAKA,,,KARNATAKA,,,,,,no
DN12,JHARKHAND,,,JHARKHAND,,,,,,no
DN13,ODISHA,,,ODISHA,,,,,,no
DN14,KERALA,,,KERALA,,,,,,no
DN15,GUJARAT,,,GUJARAT,,,,,,no
DN16,ANDHRA PRADESH,,,ANDHRA PRADESH,,,,,,no
DN17,Kolkata,,,kolkata,,,,,,no
DN20,All India B2B,,,All India B2B,,,,,,no
DN19,Karnataka B2B,,,Karnataka B2B,,,,,,no
DN21,Bihar B2B,,,Bihar B2B,,,,,,no
DN26,WB B2B,,,WB B2B,,,,,,no
DN24,Gujarat B2B,,,Gujarat B2B,,,,,,no
DN27,Odisha B2B,,,Odisha B2B,,,,,,no
DN28,ASSAM B2B,,,ASSAM B2B,,,,,,no
DN29,JAMMU & KASHMIR,,,JAMMU & KASHMIR,,,,,,no
DN30,CHANDIGARH,,,PUNJAB,,,,,,no
DN31,DELHI,,,DELHI,,,,,,no
DN32,HARYANA,,,HARYANA,,,,,,no
DN33,NOIDA,,,UP,,,,,,no
DN34,EAST UP,,,UP,,,,,,no
