DNS Branch Code,Branch Name,Branch Location,Comp Code,Branch State,Branch Email,Branch Account Email,Alternative Email,Plant name,HQ,Is plant
,JORHAT,,,ASSAM,,,,,,no
,NAGAON,,,ASSAM,,,,,,no
,NLP,,,ASSAM,,,,,,no
,SIBSAGAR,,,ASSAM,,,,,,no
,SILCHAR,,,ASSAM,,,,,,no
,KAMRUP RURAL,,,ASSAM,,,,,,no
,LOWER ASSAM 2,,,ASSAM,,,,,,no
,MANIPUR,,,MANIPUR,,,,,,no
,DARRANG,,,ASSAM,,,,,,no
,AP NORTH,,,ARUNACHAL PRADESH,,,,,,no
,NAGALAND,,,NAGALAND,,,,,,no
,MORIGAON,,,ASSAM,,,,,,no
,TEZPUR,,,ASSAM,,,,,,no
,AP SOUTH,,,ARUNACHAL PRADESH,,,,,,no
,GOLAGHAT,,,ASSAM,,,,,,no
,DIBRUGARH,,,ASSAM,,,,,,no
,KAMRUP URBAN,,,ASSAM,,,,,,no
,SHILLONG,,,MEGHALAYA,,,,,,no
,AGARTALA,,,TRIPURA,,,,,,no
,MIZORAM,,,MIZORAM,,,,,,no
,DHARMANAGAR,,,TRIPURA,,,,,,no
,LOWER ASSAM 1,,,ASSAM,,,,,,no
,TURA,,,MEGHALAYA,,,,,,no
,TINSUKIA,,,ASSAM,,,,,,no
,NA,,,NA,,,,,,no
,DARJEELING,,,WEST BENGAL,,,,,,no
,Aizwal,,,MIZORAM,,,,,,no
,Jaintia Hills,,,MEGHALAYA,,,,,,no
,Udaipur,,,TRIPURA,,,,,,no
,All India,,,INDIA,,,,,,no
