Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,TAO DISH WASH 150 GM (80X1),,6.52,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 150 GM (80X1),,391.14,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 700 GM (12X1),,28.25,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 700 GM (12X1),,338.98,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 400 GM (400X24),,18.85,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 400 GM (400X24),,452.41,0,,0,0,Y,0,0,0,0,,CASE
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,,CASE
,PANCH MUKHI SALT 1KG (25KG),,8.31,0,,0,0,Y,0,0,0,0,,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.43,0,,0,0,Y,0,0,0,0,,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,,CASE
,TAO 12 GM (900X1),,0.6,0,,0,0,Y,0,0,0,0,,PC
,TAO 12 GM (900X1),,542.1,0,,0,0,Y,0,0,0,0,,CASE
,TAO 175 GM (61X1),,6.89,0,,0,0,Y,0,0,0,0,,PC
,TAO 175 GM (61X1),,413.56,0,,0,0,Y,0,0,0,0,,CASE
,TAO 1KG (25X1),,36.32,0,,0,0,Y,0,0,0,0,,PC
,TAO 1KG (25X1),,907.99,0,,0,0,Y,0,0,0,0,,CASE
,TAO 500 GM (50X1),,18.16,0,,0,0,Y,0,0,0,0,,PC
,TAO 500 GM (50X1),,544.79,0,,0,0,Y,0,0,0,0,,CASE
,TAO 75 GM (122X1),,3.29,0,,0,0,Y,0,0,0,0,,PC
,TAO 75 GM (122X1),,395.4,0,,0,0,Y,0,0,0,0,,CASE
,TAO PLUS 400 GM (30X1),,18.83,0,,0,0,Y,0,0,0,0,,PC
,TAO PLUS 400 GM (30X1),,564.83,0,,0,0,Y,0,0,0,0,,CASE
,TAO PLUS 800 GM (24X1),,38.67,0,,0,0,Y,0,0,0,0,,PC
,TAO PLUS 800 GM (24X1),,928.17,0,,0,0,Y,0,0,0,0,,CASE
,TAO SCRUBER RS 15/-,,6.46,0,,0,0,Y,0,0,0,0,,PC
,TAO SCRUBER RS 15/-,,929.78,0,,0,0,Y,0,0,0,0,,CASE
,TAO SCRUBER RS 5/-,,3.07,0,,0,0,Y,0,0,0,0,,PC
,TAO SCRUBER RS 5/-,,1288.14,0,,0,0,Y,0,0,0,0,,CASE
,TAO STEEL WOOL RS 15/-,,6.46,0,,0,0,Y,0,0,0,0,,PC
,TAO STEEL WOOL RS 15/-,,929.78,0,,0,0,Y,0,0,0,0,,CASE
,Soda 1kg,,31.96,0,,0,0,Y,0,0,0,0,,PC
,Soda 1kg,,799.03,0,,0,0,Y,0,0,0,0,,CASE
,Soda 500g,,16.81,0,,0,0,Y,0,0,0,0,,PC
,Soda 500g,,504.44,0,,0,0,Y,0,0,0,0,,CASE
,Soda 200g,,7.34,0,,0,0,Y,0,0,0,0,,PC
,Soda 200g,,366.87,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 200 GM (200X48),,9.67,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 200 GM (200X48),,464,0,,0,0,Y,0,0,0,0,,CASE
,TAO 1KG (12X1),,36.32,0,,0,0,Y,0,0,0,0,,PC
,TAO 1KG (12X1),,435.84,0,,0,0,Y,0,0,0,0,,CASE
,TAO 2.5KG (10X1),,137.21,0,,0,0,Y,0,0,0,0,,PC
,TAO 2.5KG (10X1),,1372.07,0,,0,0,Y,0,0,0,0,,CASE
