"branch_code","state_code","prod_code","dns_prod_code","product_group_code","product_sub_group_code","product_brand_code","prod_desc","cl_stk","UOM1","UOM2","UOM3","UOM4","UOM5","conversion_factor","conversion_factor_two","secondary_unit","pack_size","pack_unit","TD","acedns","black_list","vertical_value","freight_cost","focus","weightage","vat","addl_vat","lead_time","buffer_level","max_level_marketing","gross_weight","packing_realization","category","prod_size","prod_full_name","fg_rm","oil_category","alias","hsn_sac","CGST","IGST","download_time","download_time_cl_stk"
,,"12001",,,,,"NEOLAYR MOISTURISING LOTION 250ML (Pump)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12002",,,,,"NEOLAYR FOOT MOISTURISING CREAM 10GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12003",,,,,"NEOLAYR FOOT MOISTURISING CREAM 50GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12004",,,,,"NEOLAYR HAND MOISTURISING CREAM 10GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12005",,,,,"NEOLAYR HAND MOISTURISING CREAM 50GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12006",,,,,"NEOLAYR HAND MOISTURISING CREAM 80GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12007",,,,,"NEOLAYR CG 25 ML (Pocket Spray)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12008",,,,,"NEOLAYR CG 200 ML (with spray pump)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2020-12-16 17:21:51"
,,"12009",,,,,"NEOLAYR MOISTURISING LOTION 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-01-29 11:48:49"
,,"12010",,,,,"NEOLAYR HAND WASH 200ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-01-29 11:48:49"
,,"12011",,,,,"NEOLAYR CG 25ML POCKET SPRAY","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-01-29 11:48:49"
,,"12012",,,,,"NEOLAYR CALAMINE 50 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-02-09 17:42:45"
,,"12013",,,,,"NEOLAYR CALAMINE 10 ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-02-27 16:11:51"
,,"12014",,,,,"NEOLAYR SUNSCREEN 50GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-03-20 16:30:10"
,,"12015",,,,,"NEOLAYR SUNSCREEN 10GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-03-20 16:30:10"
,,"12016",,,,,"NEOLAYRe HAND SANITIZER 100 ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-04-20 13:00:10"
