dns_branch_code,Current Product Name in SFA,Proposed Product Name in SFA
DN01,STAR CEMENT PPC,STAR PPC HDPE
DN01,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN01,AMBUJA,AMBUJA PPC HDPE
DN01,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN01,ULTRATECH,ULTRATECH PPC HDPE
DN01,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN01,ACC HPC,ACC HPC HDPE
DN01,ACC ADSTAR,ACC PPC ADSTAR
DN02,STAR CEMENT PPC,STAR PPC HDPE
DN02,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN02,AMBUJA,AMBUJA PPC HDPE
DN02,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN02,ULTRATECH,ULTRATECH PPC HDPE
DN02,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN02,ACC HPC,ACC HPC HDPE
DN02,ACC ADSTAR,ACC PPC ADSTAR
DN03,STAR CEMENT PPC,STAR PPC HDPE
DN03,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN03,AMBUJA,AMBUJA PPC HDPE
DN03,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN03,ULTRATECH,ULTRATECH PPC HDPE
DN03,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN03,ACC HPC,ACC HPC HDPE
DN03,ACC ADSTAR,ACC PPC ADSTAR
DN04,STAR CEMENT PPC,STAR PPC HDPE
DN04,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN04,AMBUJA,AMBUJA PPC HDPE
DN04,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN04,ULTRATECH,ULTRATECH PPC HDPE
DN04,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN04,ACC HPC,ACC HPC HDPE
DN04,ACC ADSTAR,ACC PPC ADSTAR
DN05,STAR CEMENT PPC,STAR PPC HDPE
DN05,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN05,AMBUJA,AMBUJA PPC HDPE
DN05,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN05,ULTRATECH,ULTRATECH PPC HDPE
DN05,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN05,ACC HPC,ACC HPC HDPE
DN05,ACC ADSTAR,ACC PPC ADSTAR
DN06,STAR CEMENT PPC,STAR PPC HDPE
DN06,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN06,AMBUJA,AMBUJA PPC HDPE
DN06,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN06,ULTRATECH,ULTRATECH PPC HDPE
DN06,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN06,ACC HPC,ACC HPC HDPE
DN06,ACC ADSTAR,ACC PPC ADSTAR
DN07,STAR CEMENT PPC,STAR PPC HDPE
DN07,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN07,AMBUJA,AMBUJA PPC HDPE
DN07,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN07,ULTRATECH,ULTRATECH PPC HDPE
DN07,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN07,ACC HPC,ACC HPC HDPE
DN07,ACC ADSTAR,ACC PPC ADSTAR
DN08,STAR CEMENT PPC,STAR PPC HDPE
DN08,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN08,AMBUJA,AMBUJA PPC HDPE
DN08,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN08,ULTRATECH,ULTRATECH PPC HDPE
DN08,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN08,ACC HPC,ACC HPC HDPE
DN08,ACC ADSTAR,ACC PPC ADSTAR
DN09,STAR CEMENT PPC,STAR PPC HDPE
DN09,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN09,AMBUJA,AMBUJA PPC HDPE
DN09,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN09,ULTRATECH,ULTRATECH PPC HDPE
DN09,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN09,ACC HPC,ACC HPC HDPE
DN09,ACC ADSTAR,ACC PPC ADSTAR
DN10,STAR CEMENT PPC,STAR PPC HDPE
DN10,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN10,AMBUJA,AMBUJA PPC HDPE
DN10,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN10,ULTRATECH,ULTRATECH PPC HDPE
DN10,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN10,ACC HPC,ACC HPC HDPE
DN10,ACC ADSTAR,ACC PPC ADSTAR
DN11,STAR CEMENT PPC,STAR PPC HDPE
DN11,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN11,AMBUJA,AMBUJA PPC HDPE
DN11,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN11,ULTRATECH,ULTRATECH PPC HDPE
DN11,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN11,ACC HPC,ACC HPC HDPE
DN11,ACC ADSTAR,ACC PPC ADSTAR
DN11,STAR CEMENT PPC,STAR PPC HDPE
DN11,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DN11,AMBUJA,AMBUJA PPC HDPE
DN11,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DN11,ULTRATECH,ULTRATECH PPC HDPE
DN11,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DN11,ACC HPC,ACC HPC HDPE
DN11,ACC ADSTAR,ACC PPC ADSTAR
DS01,STAR CEMENT PPC,STAR PPC HDPE
DS01,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DS01,AMBUJA,AMBUJA PPC HDPE
DS01,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DS01,ULTRATECH,ULTRATECH PPC HDPE
DS01,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DS01,ACC HPC,ACC HPC HDPE
DS01,ACC ADSTAR,ACC PPC ADSTAR
DS02,STAR CEMENT PPC,STAR PPC HDPE
DS02,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DS02,AMBUJA,AMBUJA PPC HDPE
DS02,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DS02,ULTRATECH,ULTRATECH PPC HDPE
DS02,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DS02,ACC HPC,ACC HPC HDPE
DS02,ACC ADSTAR,ACC PPC ADSTAR
DS03,STAR CEMENT PPC,STAR PPC HDPE
DS03,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DS03,AMBUJA,AMBUJA PPC HDPE
DS03,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DS03,ULTRATECH,ULTRATECH PPC HDPE
DS03,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
DS03,ACC HPC,ACC HPC HDPE
DS03,ACC ADSTAR,ACC PPC ADSTAR
DS04,STAR CEMENT PPC,STAR PPC HDPE
DS04,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
DS04,AMBUJA,AMBUJA PPC HDPE
DS04,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
DS04,ULTRATECH,ULTRATECH PPC HDPE
DS04,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
