Branch Code,April Base Volume,April Base Volume Achv,May Base Volume,May Base Volume Achv,June Base Volume,June Base Volume  Achv,July Base Volume,July Base Volume Achv,August Base Volume,August Base Volume Achv,September Base Volume,September Base Volume Achv,October Base Volume,October Base Volume Achv,November Base Volume,November Base Volume Achv,December Base Volume,December Base Volume Achv,January Base Volume,January Base Volume Achv,February Base Volume,February Base Volume Achv,March Base Volume,March Base Volume Achv
A101,0,0,0,0,0,0,0,0,0,0,0,14438.5,0,16056.5,0,14116.2,0,16795.75,0,18051.55,0,17770.45,0,0
A102,0,0,0,0,0,0,0,0,0,0,0,20382.1,0,23792.05,0,21396.35,0,26376.4,0,33816.4,0,31479.1,0,0
A103,0,0,0,0,0,0,0,0,0,0,0,4127.05,0,4315.55,0,4630.45,0,4265.8,0,4777.05,0,4810.05,0,0
A104,0,0,0,0,0,0,0,0,0,0,0,7303,0,8418.35,0,7975,0,8966.35,0,9871.55,0,10507.65,0,0
A105,0,0,0,0,0,0,0,0,0,0,0,6343.9,0,8440.95,0,8222.15,0,8668.35,0,9734.6,0,10316.75,0,0
A106,0,0,0,0,0,0,0,0,0,0,0,8483.15,0,10793.45,0,10834.2,0,12921.25,0,13203.95,0,13231,0,0
A107,0,0,0,0,0,0,0,0,0,0,0,1983.7,0,1605.45,0,2199.3,0,2059.65,0,1347,0,1534.35,0,0
A108,0,0,0,0,0,0,0,0,0,0,0,179.75,0,392.75,0,620.75,0,1017,0,707.75,0,1069.25,0,0
A110,0,0,0,0,0,0,0,0,0,0,0,145,0,50,0,100,0,100,0,135,0,100,0,0
A112,0,0,0,0,0,0,0,0,0,0,0,4795.15,0,5870.8,0,5225.8,0,5008.55,0,5950.35,0,6322.4,0,0
A113,0,0,0,0,0,0,0,0,0,0,0,1061.7,0,1608,0,1756.65,0,2031.2,0,2079.9,0,2357.35,0,0
A114,0,0,0,0,0,0,0,0,0,0,0,3088.45,0,3593.55,0,3521.4,0,3053.1,0,3800.1,0,3646.2,0,0
A115,0,0,0,0,0,0,0,0,0,0,0,5597.65,0,6354.85,0,5406.3,0,7264.4,0,6801.3,0,7402.35,0,0
A116,0,0,0,0,0,0,0,0,0,0,0,4347.55,0,5186.65,0,4699.35,0,5414.4,0,6340.9,0,6067.35,0,0
A117,0,0,0,0,0,0,0,0,0,0,0,3221.65,0,4264.7,0,4062.3,0,4424.65,0,5520,0,5219.85,0,0
