Customer Code,Name ,April,April Achv.,May,May Achv.,June,June Achv.,July,July Achv.,August,August Achv.,September,September Achv.,October,October Achv.,November,November Achv.,December,December Achv.,January,January Achv.,February,February Achv.,March,March Achv.
B150,BARUAH TRADE CENTRE (RSSB104),20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
H135,HONTOROI NONGPLUH (RSSH058),15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
NEB113,BROTHERS HARDWARE STORE,44,0,44,300,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0
NEK019,TORES LYNGKHOI,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NEM028,M.G. STORE & HARDWARE,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0
NEM066,MINATI HARDWARE,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
NES084,SANTOSH HARDWARE (RSSS022),12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0,12.6,0
NET014,NEW TARUN HARDWARE STORE (RSSN067),20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE00271,SHAAN TRADERS (RSSS174),27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE00329,EASTERN HARDWARE (RSSE012),27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE00356,K MARBOH,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE00370,WELDHAR,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE02314,TASNIM HARDWARE,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
NSNE02317,RADHA RANI ENTERPRISE,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE02359,KEISAM TRADERS ( RSSD),20,0,20,170,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE02365,MAUSHOMI HARDWARE,55,0,55,100,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0
NSNE02376,JAMUNA HARDWARE,20,0,20,200,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE02402,A.R HARDWARE,20,0,20,200,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE02455,BIJIT HARDWARE (RSSB072),10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE02500,RAJIB HARDWARE (RSSR042),25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE02565,TRILUKCHAN HARDWARE & ELECTRICAL STORE (RSST007),40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0
NSNE02759,LALITA HARDWARE (RSSL008),10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE02762,SAIKIA HARDWARE (PRASANTA) ,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
NSNE02786,AGARWALLA TIMBER SHOP,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0,27.22222222,0
NSNE02816,CHENIAMGURI HARDWARE STORE (RSSC021),35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0,35.77777778,0
NSNE02822,DUTTA HARDWARE (PRABIR) (RSSD173),24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0,24.88888889,0
NSNE02825,GOGOI HARDWARE & FERTILIZER (RSSG067),76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0,76.68888889,0
NSNE02834,J P TRADERS (RSSJ050),10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0,10.11111111,0
NSNE02929,PAUL HARDWARE(SAJAL),10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE02938,JOY GURU ENTERPRISE,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0
NSNE02982,PUSPA ENTERPRISE (RSSP144),16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0
NSNE02986,HB STORE(RSSH081),36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0
NSNE03003,BHABA JYOTI ENTERPRISE,27.5,0,27.5,150,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE03041,KUNJALOTA TRADERS (RSSK020),34.6875,0,34.6875,140,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0,34.6875,0
NSNE03056,SRI GANESH ENTERPRISE & HARDWARE (RSSS430),15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
NSNE03176,K D ENTERPRISE,44,0,44,350,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0
NSNE03197,DEKA ENTERPRISE (HATIMARA) (RSSD004),5,0,5,30,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
NSNE03200,HEMANTA HAZARIKA  (RSSH076),12,0,12,300,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE03232,LUBNA HARDWARE (RSSL003),7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0
NSNE03246,AHMED ENTERPRISE (SHAMSHER),15.4,0,15.4,200,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0
NSNE03281,ZAMAN ENTERPRISE,27.5,0,27.5,400,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE03299,MADINA ENTERPRISE,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0,12.1,0
NSNE03396,BAKUL ENTERPRISE,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE03423,NILLUM HARDWARE (RSSN122),25,0,25,1480,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE03425,MAA STEEL  FABRICATION,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
NSNE03434,KALITA ASSOCIATE (MANOJ) (RSSK061),23,0,23,100,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0
NSNE03445,C.R. AGENCY,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0
NSNE03463,FHL ENTERPRISE,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
NSNE03475,SAINIK ENTERPRISE (RSSS154),22,0,22,100,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE03486,BABA SHIVA ENTERPRISE,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
