Broker code,Destination Code,acedns
WBSPN01,DES04873,Y
WBSPN01,DES04874,Y
WBSPN01,DES04875,Y
WBSPN01,DES04876,Y
WBSPN01,DES04877,Y
WBSPN01,DES04878,Y
WBSPN01,DES04879,Y
WBSPN01,DES04880,Y
WBSPN01,DES04881,Y
WBSPN01,DES04882,Y
WBSPN01,DES04883,Y
WBSPN01,DES04884,Y
WBSPN01,DES04885,Y
WBSPN01,DES04886,Y
WBSPN01,DES04887,Y
WBSPN01,DES04888,Y
WBSPN01,DES04889,Y
WBSPN01,DES04890,Y
WBSPN01,DES04891,Y
WBSPN01,DES04892,Y
WBSPN01,DES04893,Y
WBSPN01,DES04894,Y
WBSPN01,DES04895,Y
WBSPN01,DES04896,Y
WBSPN01,DES04897,Y
WBSPN01,DES04898,Y
WBSPN01,DES04899,Y
WBSPN01,DES04900,Y
WBSPN01,DES04901,Y
WBSPN01,DES04902,Y
WBSPN01,DES04903,Y
WBSPN01,DES04904,Y
WBSPN01,DES04905,Y
WBSPN01,DES04906,Y
WBSPN01,DES04907,Y
WBSPN01,DES04908,Y
WBSPN01,DES04909,Y
WBSPN01,DES04910,Y
WBSPN01,DES04911,Y
WBSPN01,DES04912,Y
WBSPN01,DES04913,Y
WBSPN01,DES04914,Y
WBSPN01,DES04915,Y
WBSPN01,DES04916,Y
WBSPN01,DES04917,Y
WBSPN01,DES04918,Y
WBSPN01,DES04919,Y
WBSPN01,DES04920,Y
WBSPN01,DES04921,Y
WBSPN01,DES04922,Y
WBSPN01,DES04923,Y
WBSPN01,DES04924,Y
WBSPN01,DES04925,Y
WBSPN01,DES04926,Y
WBSPN01,DES04927,Y
WBSPN01,DES04928,Y
WBSPN01,DES04929,Y
WBSPN01,DES04930,Y
WBSPN01,DES04931,Y
WBSPN01,DES04932,Y
WBSPN01,DES04933,Y
WBSPN01,DES04934,Y
WBSPN01,DES04935,Y
WBSPN01,DES04936,Y
WBSPN01,DES04937,Y
WBSPN01,DES04938,Y
WBSPN01,DES04939,Y
WBSPN01,DES04940,Y
WBSPN01,DES04941,Y
WBSPN01,DES04942,Y
WBSPN01,DES04943,Y
WBSPN01,DES04944,Y
WBSPN01,DES04945,Y
WBSPN01,DES04946,Y
WBSPN01,DES04947,Y
WBSPN01,DES04948,Y
WBSPN01,DES04949,Y
WBSPN01,DES04950,Y
WBSPN01,DES04953,Y
WBSPN01,DES04954,Y
WBSPN01,DES04955,Y
WBSPN01,DES04957,Y
WBSPN01,DES04958,Y
WBSPN01,DES04959,Y
WBSPN01,DES04960,Y
WBSPN01,DES04961,Y
WBSPN01,DES04962,Y
WBSPN01,DES04963,Y
WBSPN01,DES04964,Y
WBSPN01,DES04965,Y
WBSPN01,DES04966,Y
WBSPN01,DES04967,Y
WBSPN01,DES04968,Y
WBSPN01,DES04969,Y
WBSPN01,DES04970,Y
WBSPN01,DES04971,Y
WBSPN01,DES04972,Y
WBSPN01,DES04973,Y
WBSPN01,DES04974,Y
WBSPN01,DES04975,Y
WBSPN01,DES04976,Y
WBSPN01,DES04977,Y
WBSPN01,DES04978,Y
WBSPN01,DES04980,Y
WBSPN01,DES04981,Y
WBSPN01,DES04982,Y
WBSPN01,DES04983,Y
WBSPN01,DES04986,Y
WBSPN01,DES04987,Y
WBSPN01,DES04988,Y
WBSPN01,DES04989,Y
WBSPN01,DES04990,Y
WBSPN01,DES04991,Y
WBSPN01,DES04992,Y
WBSPN01,DES04993,Y
WBSPN01,DES04994,Y
WBSPN01,DES04995,Y
WBSPN01,DES04998,Y
WBSPN01,DES04999,Y
WBSPN01,DES05000,Y
WBSPN01,DES05001,Y
WBSPN01,DES05002,Y
WBSPN01,DES05003,Y
WBSPN01,DES05004,Y
WBSPN01,DES05005,Y
WBSPN01,DES05006,Y
WBSPN01,DES05007,Y
WBSPN01,DES05008,Y
WBSPN01,DES05009,Y
WBSPN01,DES05010,Y
WBSPN01,DES05011,Y
WBSPN01,DES05012,Y
WBSPN01,DES05013,Y
WBSPN01,DES05014,Y
WBSPN01,DES05015,Y
WBSPN01,DES05016,Y
WBSPN01,DES05017,Y
WBSPN01,DES05018,Y
WBSPN01,DES05019,Y
WBSPN01,DES05020,Y
WBSPN01,DES05021,Y
WBSPN01,DES05022,Y
WBSPN01,DES05023,Y
WBSPN01,DES05024,Y
WBSPN01,DES05025,Y
WBSPN01,DES05026,Y
WBSPN01,DES05027,Y
WBSPN01,DES05028,Y
WBSPN01,DES05029,Y
WBSPN01,DES05030,Y
WBSPN01,DES05031,Y
WBSPN01,DES05032,Y
WBSPN01,DES05033,Y
WBSPN01,DES05034,Y
WBSPN01,DES05035,Y
WBSPN01,DES05036,Y
WBSPN01,DES05037,Y
WBSPN01,DES05038,Y
WBSPN01,DES05039,Y
WBSPN01,DES05040,Y
WBSPN01,DES05041,Y
WBSPN01,DES05042,Y
WBSPN01,DES05044,Y
WBSPN01,DES05045,Y
WBSPN01,DES05046,Y
WBSPN01,DES05047,Y
WBSPN01,DES05048,Y
WBSPN01,DES05049,Y
WBSPN01,DES05050,Y
WBSPN01,DES05051,Y
WBSPN01,DES05053,Y
WBSPN01,DES05054,Y
WBSPN01,DES05055,Y
WBSPN01,DES05056,Y
WBSPN01,DES05057,Y
WBSPN01,DES05058,Y
WBSPN01,DES05061,Y
WBSPN01,DES05063,Y
WBSPN01,DES05064,Y
WBSPN01,DES05065,Y
WBSPN01,DES05066,Y
WBSPN01,DES05067,Y
WBSPN01,DES05068,Y
WBSPN01,DES05069,Y
WBSPN01,DES05070,Y
WBSPN01,DES05071,Y
WBSPN01,DES05072,Y
WBSPN01,DES05073,Y
WBSPN01,DES05074,Y
WBSPN01,DES05075,Y
WBSPN01,DES05076,Y
WBSPN01,DES05077,Y
WBSPN01,DES05078,Y
WBSPN01,DES05079,Y
WBSPN01,DES05080,Y
WBSPN01,DES05082,Y
WBSPN01,DES05083,Y
WBSPN01,DES05084,Y
WBSPN01,DES05085,Y
WBSPN01,DES05086,Y
WBSPN01,DES05087,Y
WBSPN01,DES05088,Y
WBSPN01,DES05089,Y
WBSPN01,DES05090,Y
WBSPN01,DES05091,Y
WBSPN01,DES05092,Y
WBSPN01,DES05093,Y
WBSPN01,DES05094,Y
WBSPN01,DES05095,Y
WBSPN01,DES05096,Y
WBSPN01,DES05097,Y
WBSPN01,DES05098,Y
WBSPN01,DES05099,Y
WBSPN01,DES05100,Y
WBSPN01,DES05101,Y
WBSPN01,DES05102,Y
WBSPN01,DES05103,Y
WBSPN01,DES05104,Y
WBSPN01,DES05105,Y
WBSPN01,DES05106,Y
WBSPN01,DES05107,Y
WBSPN01,DES05108,Y
WBSPN01,DES05109,Y
WBSPN01,DES05110,Y
WBSPN01,DES05111,Y
WBSPN01,DES05112,Y
WBSPN01,DES05113,Y
WBSPN01,DES05114,Y
WBSPN01,DES05115,Y
WBSPN01,DES05116,Y
WBSPN01,DES05117,Y
WBSPN01,DES05118,Y
WBSPN01,DES05119,Y
WBSPN01,DES05121,Y
WBSPN01,DES05122,Y
WBSPN01,DES05123,Y
WBSPN01,DES05124,Y
WBSPN01,DES05125,Y
WBSPN01,DES05126,Y
WBSPN01,DES05127,Y
WBSPN01,DES05128,Y
WBSPN01,DES05129,Y
WBSPN01,DES05130,Y
WBSPN01,DES05131,Y
WBSPN01,DES05132,Y
WBSPN01,DES05133,Y
WBSPN01,DES05134,Y
WBSPN01,DES05135,Y
WBSPN01,DES05136,Y
WBSPN01,DES05137,Y
WBSPN01,DES05138,Y
WBSPN01,DES05139,Y
WBSPN01,DES05140,Y
WBSPN01,DES05141,Y
WBSPN01,DES05142,Y
WBSPN01,DES05143,Y
WBSPN01,DES05144,Y
WBSPN01,DES05145,Y
WBSPN01,DES05146,Y
WBSPN01,DES05147,Y
WBSPN01,DES05148,Y
WBSPN01,DES05149,Y
WBSPN01,DES05150,Y
WBSPN01,DES05151,Y
WBSPN01,DES05152,Y
WBSPN01,DES05153,Y
WBSPN01,DES05154,Y
WBSPN01,DES05155,Y
WBSPN01,DES05156,Y
WBSPN01,DES05157,Y
WBSPN01,DES05158,Y
WBSPN01,DES05159,Y
WBSPN01,DES05160,Y
WBSPN01,DES05161,Y
WBSPN01,DES05162,Y
WBSPN01,DES05163,Y
WBSPN01,DES05164,Y
WBSPN01,DES05165,Y
WBSPN01,DES05166,Y
WBSPN01,DES05167,Y
WBSPN01,DES05168,Y
WBSPN01,DES05169,Y
WBSPN01,DES05170,Y
WBSPN01,DES05171,Y
WBSPN01,DES05172,Y
WBSPN01,DES05173,Y
WBSPN01,DES05174,Y
WBSPN01,DES05175,Y
WBSPN01,DES05176,Y
WBSPN01,DES05177,Y
WBSPN01,DES05178,Y
WBSPN01,DES05179,Y
WBSPN01,DES05180,Y
WBSPN01,DES05181,Y
WBSPN01,DES05182,Y
WBSPN01,DES05183,Y
WBSPN01,DES05184,Y
WBSPN01,DES05185,Y
WBSPN01,DES05186,Y
WBSPN01,DES05187,Y
WBSPN01,DES05188,Y
WBSPN01,DES05189,Y
WBSPN01,DES05190,Y
WBSPN01,DES05191,Y
WBSPN01,DES05192,Y
WBSPN01,DES05193,Y
WBSPN01,DES05194,Y
WBSPN01,DES05195,Y
WBSPN01,DES05196,Y
WBSPN01,DES05197,Y
WBSPN01,DES05198,Y
WBSPN01,DES05199,Y
WBSPN01,DES05200,Y
WBSPN01,DES05201,Y
WBSPN01,DES05202,Y
WBSPN01,DES05203,Y
WBSPN01,DES05204,Y
WBSPN01,DES05205,Y
WBSPN01,DES05206,Y
WBSPN01,DES05207,Y
WBSPN01,DES05208,Y
WBSPN01,DES05209,Y
WBSPN01,DES05210,Y
WBSPN01,DES05211,Y
WBSPN01,DES05212,Y
WBSPN01,DES05213,Y
WBSPN01,DES05214,Y
WBSPN01,DES05215,Y
WBSPN01,DES05216,Y
WBSPN01,DES05217,Y
WBSPN01,DES05218,Y
WBSPN01,DES05219,Y
WBSPN01,DES05220,Y
WBSPN01,DES05221,Y
WBSPN01,DES07286,Y
WBSPN01,DES07301,Y
WBSPN01,DES07302,Y
WBSPN01,DES07303,Y
WBSPN01,DES07374,Y
WBSPN01,DES07791,Y
WBSPN01,DES07804,Y
WBSPN01,DES07872,Y
WBSPN01,DES07959,Y
WBSPN01,DES07960,Y
WBSPN01,DES07961,Y
WBSPN01,DES07971,Y
WBSPN01,DES08132,Y
WBSPN01,DES08217,Y
WBSPN01,DES08410,Y
WBSPN01,DES08511,Y
WBSPN01,DES09045,Y
WBSPN01,DES09186,Y
WBSPN01,DES09285,Y
WBSPN01,DES09306,Y
WBSPN01,DES09475,Y
WBSPN01,DES09521,Y
WBSPN01,DES09522,Y
WBSPN01,DES09529,Y
