customer_code(fk)/customer_name,emp_code/emp_name,Invoice Id,Invoice Date,Invoice amount,Due amount
A212,CMCL_149,JVSL/00120/2017-2018,25-06-2017,17778,17778
A212,CMCL_149,SAGS1/01510/2017-2018,18-05-2017,166000,166000
A212,CMCL_149,SAGS1/01509/2017-2018,18-05-2017,124500,124500
A212,CMCL_149,SAGS1/01508/2017-2018,18-05-2017,44000,44000
A212,CMCL_149,SAGS1/00591/2017-2018,20-04-2017,162000,59344
BHA023,1100167,JVIB/00003/2017-2018,25-06-2017,1455,1455
BHA023,1100167,JVKS/00441/2017-2018,25-06-2017,600,600
BHA023,1100167,JVKS/06090/2016-2017,31-03-2017,21500,21500
BHA023,1100167,CMPTU/01113/2016-2017,04-03-2017,22000,22000
BHA023,1100167,SDBIG/00886/2016-2017,04-03-2017,500,500
BHA023,1100167,JVKS/05354/2016-2017,28-02-2017,1209,1209
BHA023,1100167,JVKS/05201/2016-2017,25-02-2017,31,31
BHA023,1100167,JVIB/00019/2016-2017,23-12-2016,1500,1500
BHA023,1100167,JVKS/03262/2016-2017,31-10-2016,1828,1828
BHA023,1100167,JVBD/00018/2016-2017,31-10-2016,48450,48450
BHA023,1100167,SADFT/00553/2016-2017,17-10-2016,12920,12920
BHA023,1100167,JVIB/00017/2016-2017,12-10-2016,2520,2520
BHA023,1100167,SADFT/00542/2016-2017,08-10-2016,35530,35530
BHA023,1100167,JVBD/00014/2016-2017,14-09-2016,123880,99875
BHA038,1100381;1100573,JVKS/03274/2016-2017,31-10-2016,900,900
BHA038,1100381;1100573,SAGDH/00316/2016-2017,25-10-2016,28440,28440
BHA038,1100381;1100573,JVPK/00778/2016-2017,31-08-2016,1000,1000
BHA038,1100381;1100573,SAGDH/00258/2016-2017,30-08-2016,32100,32100
BHA038,1100381;1100573,JVPK/00636/2016-2017,31-07-2016,8490,8490
BHA038,1100381;1100573,JVPK/00637/2016-2017,31-07-2016,8490,8490
BHA038,1100381;1100573,SAGDH/00153/2016-2017,30-06-2016,69520,69520
BHA038,1100381;1100573,JVPK/00373/2016-2017,30-06-2016,6160,6160
BHA038,1100381;1100573,SAGDH/00122/2016-2017,27-06-2016,69520,69520
BHA038,1100381;1100573,JVPK/00261/2016-2017,31-05-2016,3360,3360
BHA038,1100381;1100573,SAGDH/00061/2016-2017,30-05-2016,37320,26655
NEA073,1100211,SAGFC/08913/2017-2018,18-06-2017,80600,72832
NEA120,1200169,SALSL/02298/2017-2018,30-06-2017,34799,34799
NEA120,1200169,SALSL/02299/2017-2018,30-06-2017,4301,4301
