State,Area,City,Location,Facing,Media,Type,L-R,T-B,Qty,Fascia,Sq.Ft.,Vendor,Vendor Code,Location Facing concatenate
AP,AP North,Itanagar,"Bank Tiniali, itnagar ",Itanagar,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,"Bank Tiniali, itnagar  (Itanagar)"
AP,AP North,Naharlagun,Naharlagun Zero Point,Itanagar,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Naharlagun Zero Point (Itanagar)
Assam,Darrang,Mangaldoi,Mangaldoi Town,Tezpur,Hoarding,NL,40,20,1,1,800,Art & Industry,BRV003,Mangaldoi Town (Tezpur)
Assam,Dibrugarh,Dibrugarh,Amolapatty,Jorhat,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Amolapatty (Jorhat)
Assam,Golaghat,Golaghat,Opp. Public Bus Stand,Rangajan,Hoarding,NL,20,20,1,1,400,Art & Industry,BRV003,Opp. Public Bus Stand (Rangajan)
Assam,Guwahati - Rural,Baihata Chariali,Bypass Chowk,Rangia,Hoarding,FL,30,30,1,1,900,Delta Publicity,BRV006,Bypass Chowk (Rangia)
Assam,Guwahati - Rural,Rangia,Bazar India,Highway,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,Bazar India (Highway)
Assam,Guwahati - Urban,Guwahati,Rani Gate,Airport,Hoarding,NL,49,30,1,1,1470,Soubhagya,BRV021,Rani Gate (Airport)
Assam,Guwahati - Urban,Guwahati,Adabari Bus Stand above Saraighat Hyundai,Jalukbari,Hoarding,FL,40,40,1,1,1600,Soubhagya,BRV021,Adabari Bus Stand above Saraighat Hyundai (Jalukbari)
Assam,Guwahati - Urban,Guwahati,Bhetapara Chariali,Lalmati,Hoarding,FL,40,30,1,1,1200,Need Advtg,BRV014,Bhetapara Chariali (Lalmati)
Assam,Guwahati - Urban,Guwahati,Beltola Tiniali,Basistha,Hoarding,FL,30,30,1,1,900,Need Advtg,BRV014,Beltola Tiniali (Basistha)
Assam,Guwahati - Urban,Guwahati,Christain Basti opp Aaykar Bhawan,ABC,Hoarding,FL,40,40,1,1,1600,BNAS,BRV005,Christain Basti opp Aaykar Bhawan (ABC)
Assam,Guwahati - Urban,Guwahati,Lalganesh,Battalion Gate,Hoarding,FL,40,30,1,1,1200,Maa Kamakhya Arts,BRV012,Lalganesh (Battalion Gate)
Assam,Guwahati - Urban,Guwahati,Before Commerce College,Zoo Tiniali,Hoarding,FL,30,27,1,1,810,Soubhagya,BRV021,Before Commerce College (Zoo Tiniali)
Assam,Guwahati - Urban,Guwahati,Khanapara Guwahati Entry,Jorabat,Hoarding,FL,25.0,25.0,1,1,625,First World,BRV008,Khanapara Guwahati Entry (Jorabat)
Assam,Guwahati - Urban,Guwahati,Khanapara Guwahati Exit,Guwahati City,Hoarding,FL,25.0,25.0,1,1,625,First World,BRV008,Khanapara Guwahati Exit (Guwahati City)
Assam,Guwahati - Urban,Guwahati,Guwahati Club,Both Side,Unipole,BL,18.6,8.4,1,2,312.48,OITS,BRV015,Guwahati Club (Both Side)
