Customer Code,Destination Code,acedns
NES600,DES00687,Y
NES600,DES00688,Y
NES600,DES00689,Y
NES600,DES00690,Y
NES600,DES00691,Y
NES600,DES00692,N
NES600,DES00693,Y
NES600,DES00694,N
NES600,DES00695,N
NES600,DES00696,N
NES600,DES00697,N
NES600,DES00698,N
NES600,DES00699,Y
NES600,DES00700,Y
NES600,DES00701,N
NES600,DES00702,N
NES600,DES00703,N
NES600,DES00704,N
NES600,DES00705,N
NES600,DES00706,Y
NES600,DES00707,Y
NES600,DES00708,Y
NES600,DES00709,Y
NES600,DES00710,Y
NES600,DES00711,Y
NES600,DES00712,Y
NES600,DES00713,Y
NES600,DES00714,Y
NES600,DES00715,N
NES600,DES00716,N
NES600,DES00717,N
NES600,DES00718,N
NES600,DES00719,N
NES600,DES00720,N
NES600,DES00721,N
NES600,DES00722,N
NES600,DES00723,N
NES600,DES00724,N
NES600,DES00725,N
NES600,DES00726,N
NES600,DES00727,N
NES600,DES00728,N
NES600,DES00729,N
NES600,DES00730,N
NES600,DES00731,N
NES600,DES00732,Y
NES600,DES00733,Y
NES600,DES00734,Y
NES600,DES00735,Y
NES600,DES00736,Y
NES600,DES00737,Y
NES600,DES00738,Y
NES600,DES00739,Y
NES600,DES00740,Y
NES600,DES00741,Y
NES600,DES00742,Y
NES600,DES00743,Y
NES600,DES00744,Y
NES600,DES00745,Y
NES600,DES00746,Y
NES600,DES00747,N
NES600,DES00748,N
NES600,DES00749,N
NES600,DES00750,N
NES600,DES00751,N
NES600,DES00752,N
NES600,DES00753,N
NES600,DES00754,N
NES600,DES00755,Y
NES600,DES00756,Y
NES600,DES00757,N
NES600,DES00758,N
NES600,DES00759,N
NES600,DES00760,N
NES600,DES00761,N
NES600,DES00762,N
NES600,DES00763,N
NES600,DES00764,N
NES600,DES00765,N
NES600,DES00766,Y
NES600,DES00767,Y
NES600,DES00768,Y
NES600,DES00769,Y
NES600,DES00770,Y
NES600,DES00771,Y
NES600,DES00772,Y
NES600,DES00773,Y
NES600,DES00774,Y
NES600,DES00775,N
NES600,DES00776,N
NES600,DES00777,N
NES600,DES00778,N
NES600,DES00779,N
NES600,DES00780,N
NES600,DES00781,N
NES600,DES00782,Y
NES600,DES00783,Y
NES600,DES00784,Y
NES600,DES00785,Y
NES600,DES00786,Y
NES600,DES00787,Y
NES600,DES00788,Y
NES600,DES00789,Y
NES600,DES00790,Y
NES600,DES00791,Y
NES600,DES00792,Y
NES600,DES00793,N
NES600,DES00794,N
NES600,DES00795,N
NES600,DES00796,Y
NES600,DES00797,Y
NES600,DES00798,Y
NES600,DES00799,N
NES600,DES00800,N
NES600,DES00801,N
NES600,DES00802,N
NES600,DES00803,N
NES600,DES00804,N
NES600,DES00805,N
NES600,DES00806,N
NES600,DES00807,Y
NES600,DES00808,Y
NES600,DES00809,Y
NES600,DES00810,Y
NES600,DES00811,N
NES600,DES00812,Y
NES600,DES00813,N
NES600,DES00814,N
NES600,DES00815,N
NES600,DES00816,N
NES600,DES00817,N
NES600,DES00818,N
NES600,DES00819,N
NES600,DES00820,N
NES600,DES00821,N
NES600,DES00822,N
NES600,DES00823,N
NES600,DES00824,N
NES600,DES00825,N
NES600,DES00826,Y
NES600,DES00827,Y
NES600,DES00828,Y
NES600,DES00829,N
NES600,DES00830,N
NES600,DES00831,N
NES600,DES00832,N
NES600,DES00833,N
NES600,DES00834,Y
NES600,DES00835,N
NES600,DES00836,N
NES600,DES00837,N
NES600,DES00838,N
NES600,DES00839,N
NES600,DES00840,N
NES600,DES00841,N
NES600,DES00842,N
NES600,DES00843,N
NES600,DES00844,N
NES600,DES00845,N
NES600,DES00846,N
NES600,DES00847,N
NES600,DES00848,N
NES600,DES00849,Y
NES600,DES00850,Y
NES600,DES00851,Y
NES600,DES00852,Y
NES600,DES00853,Y
NES600,DES00854,Y
NES600,DES00855,Y
NES600,DES00856,N
NES600,DES00857,N
NES600,DES00858,N
NES600,DES00859,Y
NES600,DES00860,Y
NES600,DES00861,Y
NES600,DES00862,N
NES600,DES00863,Y
NES600,DES00864,N
NES600,DES00865,N
NES600,DES00866,N
NES600,DES00867,N
NES600,DES00868,N
NES600,DES00869,N
NES600,DES00870,N
NES600,DES00871,N
NES600,DES00872,N
NES600,DES00873,Y
NES600,DES00874,Y
NES600,DES00875,Y
NES600,DES00876,Y
NES600,DES00877,Y
NES600,DES00878,Y
NES600,DES00879,Y
NES600,DES00880,Y
NES600,DES00881,N
NES600,DES00882,Y
NES600,DES00883,Y
NES600,DES00884,Y
NES600,DES00885,Y
NES600,DES00886,N
NES600,DES00887,Y
NES600,DES00888,Y
NES600,DES00889,Y
NES600,DES00890,Y
NES600,DES00891,Y
NES600,DES00892,Y
NES600,DES00893,Y
