Destination Code,Destination Name,ex_for_type
DES10241,PIPLAY - EX SIKKIM,EX
DES10242,RANGPO - EX SIKKIM,EX
DES10243,SIKKIM (EX SILIGURI),EX
DES10244,MAJHITAR DUMP (SIKKIM),EX
DES10245,BAXIRHAT,FOR
DES10246,DASPARA(SLG),FOR
DES10247,Dhaprahat ,FOR
DES10248,DINHATA(SLG),FOR
DES10249,KALIAGANJ - SLG,FOR
DES10250,PHASIDEWA,FOR
DES10251,RAMGANJ(SLG),FOR
DES10252,Rampur SLG,FOR
DES10253,RANGAPANI,FOR
DES10254,Sevoke (Helipad to Sevoke Baza,FOR
DES10255,SILIGURI(SLG),FOR
DES10256,SONAPUR(ISLAMPUR)(SLG),FOR
DES10257,BOXIRHUT DUMP,EX
DES10258,DARJELLING MORE DUMP,EX
DES10259,SILIGURI 1 DUMP,EX
DES10260,SILIGURI 2 DUMP,EX
DES10261,SILIGURIDUMP 2,EX
DES10262,FULBARI DUMP,EX
