Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,1CE9F77A-AF17-44E5-B5F8-E1E20670AEB2,01119-KRB-910-KIT,GASKET CYL,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,E9F03833-1B22-4263-8D87-73B0D458938E,01310-K14-910-KIT,RING PISTON,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,94BC4A07-2420-4926-82F4-002ED7FB84AB,01310-K14-911-KIT,RING SET 0.25,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,D907C777-641E-44F4-B84C-6E99A9EEE780,01310-K14-912-KIT,RINGPISTON,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,96F77498-2E53-426E-B8AE-B91903C695F4,01310-KPP-910-KIT,RING PISTON,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,D8BA9C4D-B34B-405F-BF38-90C77ECCFD04,01310-KRP-910 KIT RING SET PESTON,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,C862D7E0-A882-435A-A77B-8148E204AAD9,01310-KSP-911-KIT,PISTON RING(25),HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,711C3B19-144E-4C08-B0D8-0B57F2955469,01310-KSP-912-KIT,PISTONRING50,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,C405C26F-3628-48DE-91EB-857DB0085965,01310-KSP-P00-KIT,PISTON RIN STD,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,74D4CC4A-B8D3-4DCE-8D0F-8B3301120330,01310-KTE-911-KIT,PISTONRING-25,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,59FE0763-69C8-4C13-9CDC-9DDB176ABE33,01310-KTE-912-KIT,PISTONRING-50,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,12D1B742-4012-49DB-A70C-9D83EFB3DB47,01310-KTE-P00-KIT,PISTON RING SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B55C6023-7665-490A-9A40-64CF8DAF0756,01310-KTE-P01-KIT,PISTON RING SET,STD,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,22727BC4-9527-4AC4-90CC-8E9DDC0931AD,01310-KWP-900-KIT PISTON RING,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,4D0E5512-EBE9-4B88-A162-2BE418EF68CD,01310-KWP-910-RINGSET,PISTON   STD,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,64F6F661-DBEB-492D-B560-1529D187A0A2,01310-KWP-911-KIT RING SET PIS,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,72A043A5-F281-4D8D-8DC5-0A4D2A06E5D8,01310-KWP-912-KIT,PISTONRING,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,C72FA705-4D06-436B-834B-873354423873,01310-KWS-911-KIT,PISTONRING,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,47EFA936-07FD-45B6-B092-95626A441C31,01310-KWS-912-KIT,PISTONRING-50,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,BB68299E-E7BA-4BA3-8FD2-B2AB09848793,01443-K38-900-KIT,VALVE ROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B1E46E5B-ABE3-41FA-8969-F489EEAB9936,01443-K43-900-KIT,VALVE ROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,844C8C16-8F3F-419F-A438-F106DDD76BE8,01443-KPL-840-KIT,VALVEROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,14394485-4C6F-4139-BDB3-BA8D5100A09F,01443-KRB-910-KIT,VALVEROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,AB221D64-D7D7-497C-A1C7-940A51B16D8F,01443-KSP-860-KIT,VALVEROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,7C31DD12-45DE-412B-B348-C337C82AC216,01443-KWP-K00-KIT,VALVE ROCKER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B9C20B36-8453-4262-B719-D963C3092D1C,01451-K43-900-KIT,CAM CHAIN,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,D65A6065-789B-40FF-ABC7-24A74486D00D,01451-KWP-K00-KIT,CAM CHAIN,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,44018320-EFCA-40A5-A621-3AE8E265C0AB,01471-K14-900-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,47EA27F7-50F9-47F7-891A-D52D7174B184,01471-K24-900-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,E7D7ABAB-AFEA-47B0-839D-C7B5E93EA489,01471-K38-900-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,A27BEA87-1FC2-4918-A426-9C97070666C6,01471-KPL-840-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,CBFFC362-D814-4F60-9850-C9870EBB7EAE,01471-KPP-900-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,C86B300D-0BA9-4893-8228-BEDF5303B576,01471-KRB-910-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,A266502B-0E1B-45C4-9E68-31A390435A95,01471-KSP-860-KIT VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,1BC49BDC-B757-444A-9159-CBC17951B59D,01471-KSP-900-KIT,VALVESET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,D91934E7-7078-400E-8E7C-8BD95EBF0DE2,01471-KTE-910-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,BEAB59D0-982F-4E2B-BB57-50D22E236055,01471-KWP-900-KIT,VALVESET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,2632B305-EDC3-4945-913C-892B7026A51D,01471-KYJ-900-KIT,VALVE SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,0F49B3E9-9B37-4B0B-99CA-1E7FCC22507B,01621-KPL-840-KIT,PACKING CA,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,294F7180-9425-495B-938E-7169A109D142,0200D-KWP-F01-GUARD KIT,SS,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,E01C16A7-2E3B-41FC-9F83-2E27134489AE,02380-K21-900-CHAIN SPROCKET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B3BB1732-10EE-4301-BC11-E17711536D28,02380-K23-900-KIT CHAIN SPROCKET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,D15A4077-5D6D-4613-B235-1B8E6C6F2549,02380-K38-900-KIT,CHAIN SPROCKET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,920DB74F-A648-43DD-A9A1-706482E1CB04,02380-KSP-P00-KIT CHAIN SPROCKET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,E7F4CEF0-CB2C-4DE5-86DF-918AE637199C,04611-KPL-900ZZ-FENDER FR,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,9BAED0BB-3315-4E35-9201-EB8904E87CB0,04611-KRB-901ZZ-FENDER FR,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B83A88B1-6D99-400C-8ED8-27A95F83A24F,04644-KPL-900ZZ-PANEL COMP,FLOR,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,0EE0B57E-E92C-4D1D-ADB7-0B9B600238AE,05030-KSP-860-KIT,RACERSTRG.,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,8D9EB95E-217D-498C-8862-8296ABE0DB48,05131-KPL-P00-KIT,PIVOT ARM,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,07089756-D7E7-45E5-AFFD-04EF68ACC591,05141-KPL-840-KIT,BUSHCUSHION,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,E4C73BEE-4F3D-462D-81A2-7D03BD9C9559,05321-KEM-P00-KIT,RACERSTEERING,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,EA442F88-FFDA-4FE9-A0A1-7766936253AA,05602-KSP-860-KIT,PILLION STEP,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,DE445292-A1E8-48CA-B19D-D722179FF4D6,05603-KSP-860-KIT,PILLIONSTEP,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B57F809B-F3BA-46C8-9F0F-8931CCDB31BD,0560A-KSP-860-KIT,PILLISTEP,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,61C10D95-0599-4D19-8A08-03F65BDF2E70,0560B-KSP-860-KIT,PILLISTEP,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,C93A86D0-5A36-4857-80BC-017A93490122,06111-K43-D00-KIT,GASKET HEAD/CYLI,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,05670889-B862-422E-8935-DA3FA5DF0D49,06111-KWF-940-GASKET KIT,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,591006AA-DDE1-49A9-BE01-B50D5DC6A75D,06111-KWF-P00-GASKET KIT,A,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,164486D5-007B-4100-AE83-F746EAFBE3D9,06111-KWP-K00-KIT,GASKET SET,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,996C3BB2-9DEA-4273-9432-E744A7E37381,06112-KWF-940-GASKET KIT,B,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,B4B98DD5-0759-4504-A661-22BCA72F1D33,06113-KRP-983-GASKET SHEET KIT,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,1B4D4832-3EF1-4C65-A4DA-0D9C6D082863,06114-KPL-951-WASHER O-RING KIT,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,BF831974-4A74-4E17-AF01-D47825E6BD7A,06115-KRP-980-GASKET SHEET KIT,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,CD7170EF-C458-4E69-B0F6-BE53933C93B5,06160-KPP-T00-KIT,FUEL FILTER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,7FD597D5-77E1-4D42-B9DF-6D7E041F54E4,06160-KYJ-900-KIT,FUEL FILTER,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
,7197F44B-4485-47ED-A5FF-70AA487BC0E4,06179-K86-D00-CABLE COMP,THROTTLE,HONDA(W.B.),,,0,Y,N,,,,,,,,0,,,
