DNS Branch Code,Branch Name,Branch Location,Comp Code,Branch State,Branch Email,Branch Account Email,Alternative Email,Plant name,HQ,Is plant
DN01,COOCHBIHAR,,,WB,,,,,,no
DN02,ALIPURDUAR,,,WB,,,,,,no
DN03,JALPAIGURI,,,WB,,,,,,no
DN04,DARJEELING,,,WB,,,,,,no
DN05,SIKKIM,,,WB,,,,,,no
DN06,UTTAR DINAJPUR,,,WB,,,,,,no
DN07,DAKSHIN DINAJPUR,,,WB,,,,,,no
DN08,MALDA,,,WB,,,,,,no
DN09,MURSHIDABAD,,,WB,,,,,,no
DS01,BIRBHUM,,,WB,,,,,,no
DS02,BURDWAN,,,WB,,,,,,no
DS03,RANIGANJ,,,WB,,,,,,no
DS04,BANKURA,,,WB,,,,,,no
DS05,PURULIA,,,WB,,,,,,no
DS06,KOLKATA (COSSIPORE-1),,,WB,,,,,,no
DS08,KRISHNANAGAR,,,WB,,,,,,no
DS09,MOGRA,,,WB,,,,,,no
DS10,KOLKATA NACC,,,WB,,,,,,no
DS11,KOL(SHM/DANKUNI),,,WB,,,,,,no
DS12,EAST MIDNAPORE,,,WB,,,,,,no
DS13,WEST MIDNAPORE,,,WB,,,,,,no
EE01,KISHANGANJ,,,BIHAR,,,,,,no
EE02,KATIHAR & PURNIA,,,BIHAR,,,,,,no
EE03,SAHARSA,,,BIHAR,,,,,,no
EE04,BHAGALPUR,,,BIHAR,,,,,,no
EE05,LAXISARAI,,,BIHAR,,,,,,no
EE06,BEGUSARAI,,,BIHAR,,,,,,no
EE07,KHAGARIA,,,BIHAR,,,,,,no
EE08,SAMASTIPUR,,,BIHAR,,,,,,no
EW01,MUZAFFARPUR,,,BIHAR,,,,,,no
EW02,DARBHANGA,,,BIHAR,,,,,,no
EW03,SIWAN,,,BIHAR,,,,,,no
EW04,CHAPRA,,,BIHAR,,,,,,no
EW05,PATNA,,,BIHAR,,,,,,no
EW06,SARAI & VAISHALI,,,BIHAR,,,,,,no
EW07,GAYA,,,BIHAR,,,,,,no
EW08,WARSHALIGANJ,,,BIHAR,,,,,,no
F001,DHANBAD,,,,,,,,,no
F002,TATA,,,,,,,,,no
F003,RANCHI,,,,,,,,,no
F004,DEOGHAR,,,,,,,,,no
A101,GUWAHATI,,,NE,,,,,,no
A102,LOWER ASSAM,,,NE,,,,,,no
A103,TURA,,,NE,,,,,,no
A104,NAGAON,,,NE,,,,,,no
A105,TEZPUR,,,NE,,,,,,no
A106,LAKHIMPUR,,,NE,,,,,,no
A107,AP - BANDERDEWA,,,NE,,,,,,no
A108,AP - LIKABALI,,,NE,,,,,,no
A109,AP- BHALUKPONG,,,NE,,,,,,no
A110,AP - TINSUKIA,,,NE,,,,,,no
A112,JORHAT,,,NE,,,,,,no
A113,GOLAGHAT,,,NE,,,,,,no
A114,SIBSAGAR,,,NE,,,,,,no
A115,DIBRUGARH,,,NE,,,,,,no
B001,AGARTALA,,,NE,,,,,,no
B002,DHARMANAGAR,,,NE,,,,,,no
B003,MIZORAM,,,NE,,,,,,no
B004,SILCHAR,,,NE,,,,,,no
B005,SHILLONG,,,NE,,,,,,no
B006,JAINTIA HILLS,,,NE,,,,,,no
C001,MANIPUR,,,NE,,,,,,no
C002,NAGALAND,,,NE,sanjaydey@starcement.co.in,,deepdebnath@starcement.co.in,,,no
NTNE,DIRECT-NON TRADE (NE),,,NE,,,,,,no
DS07,KOLKATA (COSSIPORE-2),,,WB,,,,,,no
DN10,RAGHUNATHGANJ,,,WB,,,,,,no
DN11,COSSIMBAZAR,,,WB,,,,,,no
A116,DARANG,,,NE,sanjaydey@starcement.co.in,,deepdebnath@starcement.co.in,,,no
NTWB,DIRECT-NON TRADE (WB),,,WB,,,,,,no
DS14,DANKUNI,,,WB,,,,,,no
DS15,SHALIMAR,,,WB,,,,,,no
A117,MORIGAON,,,NE,,,,,,no
EE09,KATIHAR,,,BIHAR,,,,,,no
EE10,PURNIA,,,BIHAR,,,,,,no
A118,TINSUKIA,,,NE,,,,,,no
EE11,SITAMARHI,,,BIHAR,,,,,,no
EE12,NAWADA,,,BIHAR,,,,,,no
EE13,ARWAL,,,BIHAR,,,,,,no
EE14,JEHANABAD,,,BIHAR,,,,,,no
EE15,ROHTAS,,,BIHAR,,,,,,no
