Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias
,,KMP AMLA 3ML,AMLA,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP AMLA 50ML,AMLA,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP AMLA 100ML,AMLA,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP JASMINE 3ML,JASMINE,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP JASMINE  50ML,JASMINE,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP JASMINE  100ML,JASMINE,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COOL 3ML,COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COOL  50ML,COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COOL  100ML,COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP EXTRA COOL  3ML,EXTRA COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP EXTRA COOL  50ML,EXTRA COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP EXTRA COOL  100ML,EXTRA COOL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 20 ML,COCONUT,,,0,N,Y,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 25 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 100 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 175 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 200 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP KESHAINA 100 ML,KESHAINA,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP PAIN BALM 6 GM,PAIN BALM,,,0,Y,N,HAIR  OIL,GM,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP RHUMAZEAL OIL,RHUMAZEAL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP BODY OIL,BODY OIL,,,0,N,Y,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 500 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT 500 ML + KESHAINA 100 ML,COMBI,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP BODY OIL 200 ML,BODY OIL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP BODY OIL 500 ML,BODY OIL,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT PLUS 35 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
,,KMP COCONUT PLUS 80 ML,COCONUT,,,0,Y,N,HAIR  OIL,ML,LITRE,,,,,0,,,,,,,,,,,,,
