Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,Torkari Bar 5.5 MM,,78800,0,,0,0,Y,0,75300,0,0,,MT
,Elegant QST 500D 8 MM,,77800,0,,0,0,Y,0,74300,0,0,,MT
,Elegant QST 500D 10 MM,,76700,0,,0,0,Y,0,73200,0,0,,MT
,Elegant QST 500D 12 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,Elegant QST 500D 16 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,Elegant QST 500D 20 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,Elegant QST 500D 25 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,Elegant QST 500D 28 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,Elegant QST 500D 32 MM,,76100,0,,0,0,Y,0,72600,0,0,,MT
,H.B. Wire (Binding) 23 SWG,,91500,0,,0,0,Y,0,87000,0,0,,MT
,H.B. Wire (Binding) 22 SWG,,91500,0,,0,0,Y,0,87000,0,0,,MT
,Elegant QST 500D 6 MM,,78800,0,,0,0,Y,0,75300,0,0,,MT
,Elegant 6MM Linkups,,79800,0,,0,0,Y,0,77300,0,0,,MT
,Elegant 8MM Linkups,,79800,0,,0,0,Y,0,77300,0,0,,MT
