ooh_site_code,state,area,city,location,facing,media,type,L_R,T_B,qty,fascia,sq_ft,vendor,vendor_code,location_facing,is_active
NEOOH001,"Assam","Lakhimpur","Dhemaji","Dhemaji","Biswanath","Hoarding","NL",25,25,1,"1",625,"Delta Publicity",BRV007,"Dhemaji (Biswanath)",N
NEOOH002,"Assam","Lakhimpur","Lakhimpur","Lakhimpur","Guwahati","Hoarding","NL",40,20,1,"1",800,"R D Advertising",BRV017,"Lakhimpur (Guwahati)",Y
NEOOH003,"Assam","Tezpur","Tezpur","Mission Chariali","Parua Chariali","Hoarding","NL",40,30,1,"1",1200,"Maa Kamakhya Art",BRV011,"Mission Chariali (Parua Chariali)",Y
NEOOH004,"Assam","Tezpur","Tezpur","Tribeni Point, Tezpur","Mission Chariali","Hoarding","NL",70,20,1,"1",1400,"R D Advertising",BRV017,"Tribeni Point, Tezpur (Mission Chariali)",Y
NEOOH005,"Assam","Golaghat","Golaghat","Opp. Public Bus Stand","Tokani Park","Hoarding","NL",20,20,1,"1",400,"Art & Industry",BRV003,"Opp. Public Bus Stand (Tokani Park)",Y
NEOOH006,"Assam","Jorhat","Jorhat","Chowk Bazar","Tarajan","Hoarding","NL",40,20,1,"1",800,"Art & Industry",BRV003,"Chowk Bazar (Tarajan)",N
NEOOH007,"Assam","Jorhat","Jorhat","Kenduguri Bypass","Sibsagar","Hoarding","NL",30,30,1,"1",900,"Archana Ad & Service",BRV002,"Kenduguri Bypass (Sibsagar)",Y
NEOOH008,"Assam","Sivasagar","Gaurisagar","Gaurisagar Main Town","Jorhat","Hoarding","NL",25,25,1,"1",625,"R D Advertising",BRV017,"Gaurisagar Main Town (Jorhat)",Y
NEOOH009,"Assam","Sivasagar","Nazira","Balighat Tiniali","Nazira","Hoarding","NL",30,20,1,"1",600,"R D Advertising",BRV017,"Balighat Tiniali (Nazira)",Y
NEOOH010,"Assam","Sivasagar","Sonari","Sonari Main Town","Sibsagar","Hoarding","NL",30,25,1,"1",750,"R D Advertising",BRV017,"Sonari Main Town (Sibsagar)",Y
NEOOH011,"Assam","Sivasagar","Sivasagar","Dolmukh Chariali","Town","Hoarding","NL",40,20,1,"1",800,"Binayak Advertising Pvt Ltd",BRV005,"Dolmukh Chariali (Town)",Y
NEOOH012,"Assam","Sivasagar","Sivsagar","Station Chariali","Nazira , Dimow","Hoarding","NL",40,20,1,"1",800,"Binayak Advertising Pvt Ltd",BRV005,"Station Chariali (Nazira , Dimow)",Y
NEOOH013,"Assam","Tinsukia","Tinsukia","Laipuli","Dibrugrah","Hoarding","NL",40,20,1,"1",800,"R D Advertising",BRV017,"Laipuli (Dibrugrah)",Y
NEOOH014,"Assam","Tinsukia","Tinsukia","ASTC","Both Side","Unipole","NL",20,10,2,"2",400,"Binayak Advertising Pvt Ltd",BRV005,"ASTC (Both Side)",Y
NEOOH015,"Assam","Tinsukia","Tinsukia","Makum Rd","ASTC","Hoarding","FL",50,25,1,"1",1250,"Prerana Creative",BRV015,"Makum Rd (ASTC)",Y
NEOOH016,"Assam","Dibrugarh","Dibrugarh","Mohanbari Airport Road","Airport","Hoarding","NL",40,15,1,"1",600,"R D Advertising",BRV017,"Mohanbari Airport Road (Airport)",N
NEOOH017,"Assam","Dibrugarh","Dibrugarh","Bogibeel","Dibrugrah","Hoarding","NL",40,25,1,"1",1000,"R D Advertising",BRV017,"Bogibeel (Dibrugrah)",Y
NEOOH018,"Assam","Dibrugarh","Dibrugarh","Kumarpatty Panchali","Amolapatty","Hoarding","NL",40,15,1,"1",600,"BNAS Pvt Ltd",BRV006,"Kumarpatty Panchali (Amolapatty)",Y
NEOOH019,"Assam","Guwahati Urban","Guwahati","Battalion Gate","Lalganesh","Hoarding","FL",30,30,1,"1",900,"Veritaas Advertising Pvt. Ltd.",BRV023,"Battalion Gate (Lalganesh)",N
NEOOH020,"Assam","Guwahati Urban","Guwahati","Rani Gate","Airport","Hoarding","NL",40,35,1,"1",1400,"Soubhagya Advertising",BRV021,"Rani Gate (Airport)",Y
NEOOH021,"Assam","Guwahati Urban","Guwahati","Adabari Bus Stand above Saraighat Hyundai","Jalukbari","Hoarding","FL",40,40,1,"1",1600,"Veritaas Advertising Pvt. Ltd.",BRV023,"Adabari Bus Stand above Saraighat Hyundai (Jalukbari)",Y
NEOOH022,"Assam","Guwahati Urban","Guwahati","Bhetapara Chariali","Lalmati","Hoarding","FL",40,30,1,"1",1200,"Need Advertising",BRV013,"Bhetapara Chariali (Lalmati)",Y
NEOOH023,"Assam","Guwahati Urban","Guwahati","Beltola Tiniali","Basistha Chariali","Hoarding","FL",30,30,1,"1",900,"Need Advertising",BRV013,"Beltola Tiniali (Basistha Chariali)",Y
NEOOH024,"Assam","Guwahati Urban","Guwahati","Christain Basti opp Aaykar Bhawan","ABC","Hoarding","FL",50,40,1,"1",2000,"BNAS Pvt Ltd",BRV006,"Christain Basti opp Aaykar Bhawan (ABC)",Y
NEOOH025,"Assam","Guwahati Urban","Guwahati","Khanapara Guwahati Entry","Jorabat","Hoarding","FL",25,25,1,"1",625,"The First World Advertising",BRV022,"Khanapara Guwahati Entry (Jorabat)",Y
NEOOH026,"Assam","Guwahati Urban","Guwahati","Khanapara Guwahati Exit","Guwahati","Hoarding","FL",25,25,1,"1",625,"The First World Advertising",BRV022,"Khanapara Guwahati Exit (Guwahati)",Y
NEOOH027,"Assam","Guwahati Urban","Guwahati","Kamakhya Hill Top (150 B/S Pole Kiosks)","Both Side","Kiosks","NL",3,3,150,"300",2700,"R D Advertising",BRV017,"Kamakhya Hill Top (150 B/S Pole Kiosks) (Both Side)",Y
NEOOH028,"Assam","Guwahati - Rural","Baihata Chariali","Bypass Chowk","Rangia","Hoarding","FL",30,30,1,"1",900,"Delta Publicity",BRV007,"Bypass Chowk (Rangia)",Y
NEOOH029,"Assam","Guwahati Urban","Guwahati","Airport Road,Khanamukh","Jalukbari","Hoarding","FL",30,30,1,"1",900,"R D Advertising",BRV017,"Airport Road,Khanamukh (Jalukbari)",Y
NEOOH030,"Assam","Guwahati Urban","Guwahati","Jalukbari","Jalukbari Fly Over","Hoarding","FL",40,20,1,"1",800,"Delta Publicity",BRV007,"Jalukbari (Jalukbari Fly Over)",Y
NEOOH031,"Assam","Guwahati Urban","Guwahati","Bhangagarh under Flyover","ABC","Hoarding","BL",35.1,7.6,1,"1",266.76,"One I Total Solution",BRV014,"Bhangagarh under Flyover (ABC)",Y
NEOOH032,"Assam","Guwahati Urban","Guwahati","Six Mile","Ganeshguri","Hoarding","FL",60,20,1,"1",1200,"SOCIETY FOR WELFARE OF OCCUPANTS OF NILACHAL",BRV018,"Six Mile (Ganeshguri)",Y
NEOOH033,"Assam","Guwahati Urban","Guwahati","Before Raddison Blue","Gorchuk","Hoarding","FL",25,25,1,"1",625,"Illustration",BRV010,"Before Raddison Blue (Gorchuk)",Y
NEOOH034,"Assam","Guwahati Urban","Guwahati","Khanapara Nr Greenwood","Guwahati","Hoarding","NL",25,25,1,"1",625,"Art & Industry",BRV003,"Khanapara Nr Greenwood (Guwahati)",Y
NEOOH035,"Assam","Guwahati Urban","Guwahati","Kahilipara,Dakhingaon Crossing","Dakhingaon","Hoarding","FL",30,15,1,"1",450,"Archana Ad & Service",BRV002,"Kahilipara,Dakhingaon Crossing (Dakhingaon)",Y
NEOOH036,"Assam","Lower Assam-1","Bongaigaon","Boro Bazar Entry","Mahendra Marble","Hoarding","NL",30,30,1,"1",900,"R D Advertising",BRV017,"Boro Bazar Entry (Mahendra Marble)",Y
NEOOH037,"Assam","Lower Assam-1","Dhubri","Gauripur Town Exit","Dhubri","Hoarding","NL",40,25,1,"1",1000,"R D Advertising",BRV017,"Gauripur Town Exit (Dhubri)",Y
NEOOH038,"Assam","Lower Assam-1","Goalpara","NRL Petrol Pump","Agia","Hoarding","NL",30,30,1,"1",900,"R D Advertising",BRV017,"NRL Petrol Pump (Agia)",Y
NEOOH039,"Assam","Nagaon","Dhing","Near Dhing Chariali","Moirabari","Hoarding","NL",20,10,1,"1",200,"BNAS Pvt Ltd",BRV006,"Near Dhing Chariali (Moirabari)",Y
NEOOH040,"Assam","Lower Assam 2","Nalbari","Nalbari, Nr. Biren Garage","Nalbari","Hoarding","NL",40,25,1,"1",1000,"R D Advertising",BRV017,"Nalbari, Nr. Biren Garage (Nalbari)",Y
NEOOH041,"Assam","Lower Assam 2","Patshala","Highway Junction","Highway","Hoarding","NL",30,25,1,"1",750,"R D Advertising",BRV017,"Highway Junction (Highway)",Y
NEOOH042,"Assam","Lower Assam 2","Barpeta Town","Muslimpatty","Barpeta Town","Hoarding","NL",30,30,1,"1",900,"R D Advertising",BRV017,"Muslimpatty (Barpeta Town)",Y
NEOOH043,"Tripura","Udaipur","Udaipur","Udaipur CNG Station","Agartala","Hoarding","NL",30,20,1,"1",600,"Aask Media",BRV001,"Udaipur CNG Station (Agartala)",N
NEOOH044,"Tripura","Dharmanagar","Dharmanagar","Rajbari","DM Office","Hoarding","NL",25,15,1,"1",375,"Aask Media",BRV001,"Rajbari (DM Office)",Y
NEOOH045,"Tripura","Agartala","Agartala","Colonel Chow","Dainik Sangbad","Hoarding","FL",20,15,1,"1",300,"Archana Ad & Service",BRV002,"Colonel Chow (Dainik Sangbad)",N
NEOOH046,"Tripura","Agartala","Agartala","Flyover Milan Sangha","Udaipur Road","Hoarding","FL",35,30,1,"1",1050,"Aask Media",BRV001,"Flyover Milan Sangha (Udaipur Road)",Y
NEOOH047,"Nagaland","Nagaland","Dimapur","Hongkong Market","Church Road","Hoarding","NL",50,20,1,"1",1000,"BNAS Pvt Ltd",BRV006,"Hongkong Market (Church Road)",Y
NEOOH048,"Assam","Nagaon","Hojai Town","Hojai Main Town","Ajmal Collage","Hoarding","NL",30,20,1,"1",600,"R D Advertising",BRV017,"Hojai Main Town (Ajmal Collage)",Y
NEOOH049,"Nagaland","Nagaland","Dimapur","Purana Bazar","Airport","Hoarding","NL",35,35,1,"1",1225,"BNAS Pvt Ltd",BRV006,"Purana Bazar (Airport)",Y
NEOOH050,"Assam","Lower Assam 2","Barpeta Town","Barpeta Town","Court","Hoarding","NL",40,20,1,"1",800,"Illustration",BRV010,"Barpeta Town (Court)",Y
NEOOH051,"Assam","Nagaon","Raha","Raha Town","Guwahati","Hoarding","NL",30,30,1,"1",900,"R D Advertising",BRV017,"Raha Town (Guwahati)",Y
NEOOH052,"Assam","Nagaon","Nagaon","Haibargaon","Nagaon Entry","Hoarding","NL",35,35,1,"1",1225,"Prerana Creative",BRV015,"Haibargaon (Nagaon Entry)",Y
NEOOH053,"Assam","Nagaon","Jakhalabandha","Jakhalabandha","Amoni","Hoarding","NL",40,20,1,"1",800,"BNAS Pvt Ltd",BRV006,"Jakhalabandha (Amoni)",Y
NEOOH054,"Assam","Nagaon","Nagaon","Dhing Road","Fly Over","Hoarding","NL",40,25,1,"1",1000,"R D Advertising",BRV017,"Dhing Road (Fly Over)",Y
NEOOH055,"Assam","Nagaon","Lanka Town","Main Road","Umrangsu","Hoarding","NL",20,20,1,"1",400,"Illustration",BRV010,"Main Road (Umrangsu)",Y
NEOOH056,"Nagaland","Nagaland","Kohima","PR Hills","Both Side","Unipole","NL",20,10,2,"2",400,"Manish Communication",BRV012,"PR Hills (Both Side)",Y
NEOOH057,"Assam","Darrang","Mangaldoi","Mangaldoi Town","Tezpur","Hoarding","NL",40,20,1,"1",800,"Art & Industry",BRV003,"Mangaldoi Town (Tezpur)",Y
NEOOH058,"Assam","Morigaon","Morigaon","Morigaon, Main Town","Town","Hoarding","NL",30,20,1,"1",600,"R D Advertising",BRV017,"Morigaon, Main Town (Town)",Y
NEOOH059,"Manipur","Manipur","Imphal","Opp Tidim Ground","Airport","Hoarding","NL",60,20,1,"1",1200,"Bell Advertising Agency",BRV004,"Opp Tidim Ground (Airport)",Y
NEOOH060,"Assam","Silchar","Udarbond","Dumurghat","Airport","Hoarding","NL",30,20,1,"1",600,"Soms Communication",BRV020,"Dumurghat (Airport)",Y
NEOOH061,"Assam","Silchar","Hailakandi","College Road","Bata Point","Hoarding","NL",20,10,1,"1",200,"Soms Communication",BRV020,"College Road (Bata Point)",Y
NEOOH062,"Assam","Silchar","Karimganj","Patharkandi Road","Karimganj Town","Hoarding","NL",30,20,1,"1",600,"Soms Communication",BRV020,"Patharkandi Road (Karimganj Town)",Y
