Dns Prod Code,Prod Desc,Prod Image,Min order qty,Price per piece,Gst rate,Status,Payment gateway ,Dealer Login,RSSD Login
CAT001,Wall Calendar - Lord Ganesha,Wall Calendar - Lord Ganesha.jpg,100,20,18,N,Y,Y,Y
CAT002,Wall Calendar - Lord Krishna,Wall Calendar - Lord Krishna.jpg,100,20,18,N,Y,Y,Y
CAT003,Wall Calendar - Lord Buddha,Wall Calendar - Lord Buddha.jpg,100,20,18,N,Y,Y,Y
CAT004,Wall Calendar - Lord Jesus,Wall Calendar - Lord Jesus.jpg,100,20,18,N,Y,Y,Y
CAT005,Wall Calendar - Holly Mecca,Wall Calendar - Holly Mecca.jpg,100,20,18,N,Y,Y,Y
CAT006,Wall Calendar - Baby Girl,Wall Calendar - Baby Girl.jpg,100,20,18,N,Y,Y,Y
CAT007,Desk Top Calendar “Representative Image Only,Desk Top Calendar.jpg,50,170,18,N,Y,Y,Y
CAT008,Dairy “Representative Image Only,Dairy.jpg,50,89,18,N,Y,Y,Y
CAT009,Test Product,Test.jpg,2,1,5,N,Y,Y,Y
CAT010,Test 1,Test1.jpg,2,1,9,N,Y,Y,Y
CAT010,Test 1,Test1.jpg,2,1,9,N,Y,Y,Y
CAT010,Test 1,Test1.jpg,2,1,9,N,Y,Y,Y
CAT0200,Forcepower1,Forcepower.jpg,1,1,9,N,Y,Y,Y
CAT0351,Forcepower24,Forcepower24.jpg,1,1,9,N,Y,Y,Y
CAT0350,Forcepower23,Forcepower23.jpg,1,1,9,N,Y,Y,Y
CAT100,Star Cement,starcement.jpg,2,1,5,N,Y,Y,Y
CAT0352,STAR CEMENT,STAR CEMENT.JPG,2,1,5,N,Y,Y,Y
CAT011,Collared T-Shirt,T-Shirt Collared.JPG,50,190,18,N,Y,Y,Y
CAT012,Key Ring,Key Chain.JPG,300,18.5,18,Y,Y,Y,Y
CAT013,Mobile Stand,Mobile Stand.JPG,5,90,18,Y,Y,Y,Y
CAT0123,Key Ring bell,Key Ring.jpg,300,18.5,18,Y,Y,Y,Y
CAT017,Cap,Cap,50,45,18,Y,Y,Y,Y
CAT014,Round Neck T-Shirt,Round Neck T-Shirt,50,90,18,Y,Y,Y,Y
CAT015,Pen 1,Pen 1,300,10,18,Y,Y,Y,Y
CAT016,Pen 2,Pen 2,300,140,18,Y,Y,Y,Y
CAT018,Coffee Mug,Coffee Mug,5,165,18,Y,Y,Y,Y
CAT019,Slip Pad,Slip Pad,100,27.75,18,N,Y,Y,Y
CAT020,Cap,Cap.jpg,50,45,18,Y,Y,Y,Y
CAT021,Concrete Cover Block (Box),3D-Box.Jpg,1,114,18,Y,Y,Y,Y
CAT022,Concrete Cover Block Box (Rs. 285+GST)(60% discount),Box.jpg,1,114,18,N,Y,Y,Y
CAT024,Test_Anup,Test.jpg,2,1,9,Y,N,Y,N
CAT025,Test_Anup_1,Test1.jpg,2,1,9,Y,N,Y,N
CAT0355,Mobile Stand,UTF-8Mobile Stand.JPEG,5,90,18,Y,Y,Y,Y
CAT0354,Key Ring,UTF-8Key Chain.JPG,300,18.5,18,Y,Y,Y,Y
CAT0353,T-shirt Collared Neck,UTF-8polo T-Shirt white.JPG,50,190,18,Y,Y,Y,Y
CAT0356,Cap,UTF-8Cap.JPG,50,45,18,N,Y,Y,Y
CAT0357,T-shirt Round Neck,UTF-8Round Neck T-Shirt.JPG,150,90,18,Y,Y,Y,N
CAT0358,Pen 1,UTF-8Pen 1.JPG,300,10,18,N,Y,Y,Y
CAT0359,Pen 2,UTF-8Pen 2.JPG,50,140,18,Y,Y,Y,Y
CAT0360,Coffee Mug,UTF-8Coffee Mug.JPG,5,165,18,Y,Y,Y,Y
CAT0361,Slip Pad,UTF-8Slip Pad-2.JPG,100,27.75,18,Y,Y,Y,Y
