COMPANY NAME,Product Name in SFA,Branch Code,Branch Name,Active,PRODUCT TYPE
,DALMIA,181,HOJAI,yes,BENCHMARK COMPETITOR
,TOPCEM,181,HOJAI,yes,OTHER COMPETITOR
,AMBUJA,181,HOJAI,yes,OTHER COMPETITOR
,AMRIT,181,HOJAI,yes,OTHER COMPETITOR
,MAX,181,HOJAI,yes,OTHER COMPETITOR
,BEST,181,HOJAI,yes,OTHER COMPETITOR
,DALMIA DSP,181,HOJAI,yes,OTHER COMPETITOR
,BLACK TIGER,181,HOJAI,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,181,HOJAI,yes,OTHER COMPETITOR
,STAR CEMENT PPC,181,HOJAI,yes,MANDATORY STAR
,TOPCEM SDC,181,HOJAI,yes,OTHER COMPETITOR
,ULTRATECH,181,HOJAI,yes,BENCHMARK COMPETITOR
,STAR WEATHER SHIELD (TRADE),181,HOJAI,yes,OTHER COMPETITOR
,ULTRATECH SUPER,181,HOJAI,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,181,HOJAI,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,181,HOJAI,yes,OPTIONAL STAR
,DALMIA,182,KARBI ANGLONG,yes,BENCHMARK COMPETITOR
,TOPCEM,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,AMBUJA,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,AMRIT,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,MAX,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,BEST,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,DALMIA DSP,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,BLACK TIGER,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,STAR CEMENT PPC,182,KARBI ANGLONG,yes,MANDATORY STAR
,TOPCEM SDC,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,ULTRATECH,182,KARBI ANGLONG,yes,BENCHMARK COMPETITOR
